"ReferenceID"	"Authors"	"Year"	"Title"	"Details"
"Ginkgodium_bifidum-ref"	"Frenguelli, J."	"1963"	"Contribuciоnes al conocimiento de la flora del Gondwana Superior en la Argentina. XXXIII \"Ginkgoales\" de los Estratos de Potrerillos en la Precordillera de Mendoza."	"Notas del Museo de La Plata, Paleontologia, 11(87): 100–127."
"Sphenobaiera_stormbergensis-ref"	"Frenguelli, J."	"1946"	"Estratigrafia y edad del llamado Retico en la Argentina."	"Gaea, B. Aries, 20: 159–309."
"Sphenobaiera_argentinae-ref"	"Frenguelli, J."	"1946"	"Contribuciones al conocimiento de la flora del Gondwana superior en la Argentina. X X XIII."	"Notas Mus. La Plata Paleontologia, 11(87): 100–127."
"Sphenobaiera_tenuistriata-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_tanganyikensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spinosa-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spectabilis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spetsbergensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_schenkii-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_robusta-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_raymondii-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_pulchella-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_paucipartita-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_paucinervis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_multifida-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_longifolia-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_leptophylla-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_ikorfatensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_horniana-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_furcata-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_czekanowskiana-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_cretosa-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_amalloidea-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgo_coriacea-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgoites_orientalis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgoites_ipsviciensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgoites_simmondsii-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Josef-Land."	"Palaeontographica B, 81(3–6): 72–173."
"Ginkgoites_pseudoadiantoides-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Josef-Land."	"Palaeontographica B, 81(3–6): 72–173."
"Ginkgoites_lunzensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Josef-Land."	"Palaeontographica B, 81(3–6): 72–173."
"Ginkgoites_eximia-ref"	"Feruglio, E."	"1942"	"La Flora Liásica del Valle del Río Genoa (Patagonia): Ginkgoales et Gymnospermae incertae sedis."	"Not Mus La Plata Paleontologia 7: 93–110"
"Eretmophyllum_lovisatoi-ref"	"Edwards, W. N."	"1929"	"The Jurassic Flora of Sardinia."	"Annals and Magazine of Natural History, 4(23): 385–394."
"Ginkgoites_khorassanicus-ref"	"Fakhr, M.S."	"1977"	"Flore Jurassique de l'Iran."	"Bibliotheque Nationale, Paris, 165 pp."
"Ginkgoites_xinhuaensis-ref"	"Feng, S., Chen, G., Xi, Y., Zhang, C.,"	"1977"	"Fossil Atlas of Central-South China, II."	"Geological Publishing House, Beijing, pp. 622-674. (in Chinese)"
"Eretmophyllum_subtilum-ref"	"Duan, S. Y., Chen, Y."	"1991"	"The discovery of two new species of Eretmophyllum (Ginkgoales) in China."	"Cathaya, 3: 135–42."
"Eretmophyllum_latum-ref"	"Duan, S. Y., Chen, Y."	"1991"	"The discovery of two new species of Eretmophyllum (Ginkgoales) in China."	"Cathaya, 3: 135–42."
"Ginkgoites_magnifolia-ref"	"Du Toit, A. L."	"1927"	"The Fossil Flora of the Upper Karroo Beds."	"Annals of the South African Museum, 22: 289–420."
"Ginkgo_australis-ref"	"Drinnan, A. N., Chambers, C."	"1986"	"Flora of the Lower Cretaceous Koonwarra Fossil Bed (Korumburra Group), South Gippsland, Victoria."	"In: Jell, P.A., Roberts, J. (eds), Plants and invertebrates from the Lower Cretaceous Koonwarra Fossil Bed, South Gippsland, Victoria. Memoir 3 of the Association of Australasian Palaeontologists, Sidney, pp. 1– 79."
"Ginkgoites_lodevensis-ref"	"Doubinger, J."	"1956"	"Contribution a l'etude des flores Autuno-Stephaniennes."	"Memoires de la Societe Geologique de France (Nouvelle Serie), 35(75):1–180."
"Ginkgoites_martenensis-ref"	"Doubinger, J."	"1956"	"Contribution a l'etude des flores Autuno-Stephaniennes."	"Memoires de la Societe Geologique de France (Nouvelle Serie), 35(75):1–180."
"Eretmophyllum_magnum-ref"	"Doludenko, M. P., Orlovskaya, E. R.,"	"1976"	"Jurassic floras of the Karatau Range, Southern Kazakhstan."	"Palaeontology 19 (4): 627–640."
"Eretmophyllum_boroldaicum-ref"	"Doludenko, M. P., Orlovskaya, E. R.,"	"1976"	"Jurassic floras of the Karatau Range, Southern Kazakhstan."	"Palaeontology 19 (4): 627–640."
"Ginkgo_heeri-ref"	"Doludenko [Doludenko], M.P., Rasskazova [Rasskazova], E.S."	"1972"	"Ginkgovye i chekanovskievye Irkutskogo basseyna [Ginkgoales and Czekanowskiales from the Irkustk coal basin]."	"Mezozoyskie rasteniya (ginkgovye i chekanovskievye) Vostochnoy Sibiri, Nauka, pp. 7–43. (in Russian)"
"Ginkgoites_tylensis-ref"	"Doludenko [Doludenko], M.P., Lebedev [Lebedev], E.L."	"1972"	"Ginkgoites sibirica i \"G. huttonii\" Vostochnoy Sibiri [Ginkgoites sibirica and \"G. huttonii\" from eastern Siberia.]"	"In: Doludenko, M.P., et al. (eds), Mezozoyskie rasteniya (ginkgovye i chekanovskievye) Vostochnoy Sibiri [Mesozoic Plants (Ginkgoales and Czekanowskiales) from Eastern Siberia]. Nauka, Moscow, pp. 82–102. (In Russian)"
"Sphenobaiera_samylinae-ref"	"Doludenko [Doludenko], M. P., Svanidze [Svanidze], Ts. I."	"1969"	"Pozdneyurskaya flora Gruzii [The late yurassic flora of Georgia]."	"Transactions of Geology intitute, Academy of sciences of the USSR, vol. 178, 117 pp. (in Russian)"
"Eretmophyllum_thomasii-ref"	"Doludenko [Doludenko], M. P., Svanidze [Svanidze], Ts. I."	"1969"	"Pozdneyurskaya flora Gruzii [The late yurassic flora of Georgia]."	"Transactions of Geology intitute, Academy of sciences of the USSR, vol. 178, 117 pp. (in Russian)"
"Sphenobaiera_spirata-ref"	"Deng, L. H., Li, X. X., Zhou, Z. Y., Xu, R., Zhu, J. N."	"1974"	"Zhongguo Zhiwu Huashi [Palaeozoic Plants of China]."	"Kexue chubanshe, Beijing, 277 pp."
"Sphenobaiera_kazachstanica-ref"	"Doludenko [Doludenko], M. P., Orlovskaya [Orlovskaya], E. R.,"	"1976"	"Yurskaya flora Karatau [Jurassic floras of the Karatau Range]."	"Trudy geologicheskogo instituta AN SSSR, 260 pp. (in Russian)"
"Ginkgo_waarensis-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_troedssonii-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_skottsbergii-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_taochuanensis-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_polymorpha-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_marginata_marginata-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_marginata_banatica-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_iranicus-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_marginata-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_baieraeformis_banaticus-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_cuneifolius-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_baieraeformis_baieraeformis-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgo_baieraeformis-ref"	"Czier, Z."	"1998"	"Ginkgo foliage from the Jurassic of the Carpathian Basin."	"Palaeontology, 41(2): 349–381."
"Ginkgoites_feruglioi-ref"	"Cúneo, R."	"1987"	"Sobre la presencia de probables Ginkgoales en el Pérmico inferioir du Chubut, Argentina."	"VII Simposio Argentino de Paleobotánica y Palinología, Buenos Aires, Actas: 47–50."
"Ginkgo_suluktensis-ref"	"Chudajberdyev [Khudayberdyev], R., Gomolitzky [Gomolitskiy], N. P., Lobanova [Lobanova], A. V."	"1971"	"Materialy k yurskoy flore Yuzhnoy Fergany [Materials for the Jurassic flora of south Fergana]."	"In: Sixtel [Sikstel'], T. A. (eds), Paleobotany of Uzbekistan. Izdatelstvo \"FAN\", Tashkent, tom II, pp. 1–57. (in Russian)"
"Ginkgo_kokinensis-ref"	"Chudajberdyev [Khudayberdyev], R., Gomolitzky [Gomolitskiy], N. P., Lobanova [Lobanova], A. V."	"1971"	"Materialy k yurskoy flore Yuzhnoy Fergany [Materials for the Jurassic flora of south Fergana]."	"In: Sixtel [Sikstel'], T. A. (eds), Paleobotany of Uzbekistan. Izdatelstvo \"FAN\", Tashkent, tom II, pp. 1–57. (in Russian)"
"Ginkgoxylon_asiae-mediae-ref"	"Chudajberdyev [Khudayberdyev], R."	"1971"	"Dannye o drevesinakh drevnikh ginkgovykh [The woody fossil Ginkgoales]."	"In: Sixtel, T. A., Kuzichkina, Y. M., Savitskaya, L. I., Chudajberdyev, R., Shetsova, E. M. (eds), K istorii razvitiya gonkgovykh v Sredney Azii [History of development of Ginkgoales in middle Asia], Paleobotanika Uzbekistana, tom II: 98–104. (In Russian)"
"Sphenobaiera_petschorica-ref"	"Chramova [Khramova], S. N."	"1977"	"Triasovaya flora basseyna Pechory i ee znachenie dlya stratigrafii [Triassic flora of the Pechora basin and its significance for the stratigraphy]."	"Trudy Vsesoyuznogo Neftyanogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta, 380: 1–72. (in Russian)"
"Sphenobaiera_multipartita-ref"	"Chen, F., Meng, X.G., Ren, S. Q., Wu, Ch."	"1988"	"The early Cretaceous flora of Fuxin Basin and Tiefa Basin, Liaoning Province."	"Beijing: Geological Publishing House, 180 p. (Chinese with English summary)"
"Ginkgo_truncata-ref"	"Chen, F., Meng, X. Y., Ren, S. Q., Wu, C.L."	"1988"	"The Early Cretaceous flora of Fuxin Basin and Tiefa Basin, Liaoning Province."	"Geological Publishing House, Beijing, 1–180."
"Ginkgo_curvata-ref"	"Chen, F., Meng, X. Y., Ren, S. Q., Wu, C.L."	"1988"	"The Early Cretaceous flora of Fuxin Basin and Tiefa Basin, Liaoning Province."	"Geological Publishing House, Beijing, 1–180."
"Sphenobaiera_qixingensis-ref"	"Cao, Zh."	"1992"	"Fossil plants from Chengzihe Formation in Shuang-Yashan-Suibin region of Estern Heilongjiang."	"Acta Palaeontologica Sinica, 31(2): 232-248."
"Ginkgo_manchurica-ref"	"Chen, F., Meng, X. Y., Ren, S. Q., Wu, C.L."	"1988"	"The Carly Cretaceous flora of Fuxin Basin and Tiefa Basin, Liaoning Province."	"Geological Publishing House, Beijing, 1–180."
"Toretzia_shunfaensis-ref"	"Cao, Z.Y."	"1992"	"Fossil ginkgophytes from Chengzihe Formation in Shuangyashan-Suibin region of eastern Heilongjiang."	"Acta Palaeontologica Sinica, 31(2): 232–248. (in Chinese, with English summary)"
"Sphenobaiera_fujianensis-ref"	"Cao, Z. Y., Liang, S. J., Ma, A. S."	"1995"	"Fossil plants from Early Cretaceous Nanyuan Formation in Zhenghe, Fujian."	"Acta Palaeontologica Sinica, 34(1): 1–17. (Chinese with English summary)"
"Ginkgoites_microphyllus-ref"	"Cao, Z. Y."	"1992"	"Fossil plants from Chengzihe Formation in Shuang-Yushan-Suibin region of Eastern Heilongjiang."	"Acta Paleontologia Sinica, 31(2): 206–231. (in Chinese with English summary)"
"Ginkgoites_elegans-ref"	"Cao, Z. Y."	"1992"	"Fossil plants from Chengzihe Formation in Shuang-Yushan-Suibin region of Eastern Heilongjiang."	"Acta Paleontologia Sinica, 31(2): 206–231. (in Chinese with English summary)"
"Ginkgoites_baoshanensis-ref"	"Cao, Z. Y."	"1992"	"Fossil plants from Chengzihe Formation in Shuang-Yushan-Suibin region of Eastern Heilongjiang."	"Acta Paleontologia Sinica, 31(2): 206–231. (in Chinese with English summary)"
"Sphenobaiera_macrofolia-ref"	"Burago [Burago], V. I."	"1977"	"Elementy mezozoyskoy flory v pozdnepermskoy flore Juzhnogo Primor'ya [Elements of the Mesozoic flora in the Late Permian flora of Southern Primorye]."	"In: Krassilov, V. A. (eds), Paleobotanika na Dal'nem Vostoke. Dal'nevostochnyj Nauchnyj Tsentr Akademii nauk SSSR, pp. 45–51. (in Russian)"
"Sphenobaiera_vitimica-ref"	"Bugdaeva, E. V."	"2010"	"New species of Sphenobaiera Florin (Ginkgoales) from the Lower Cretaceous of Transbaikalia."	"Paleontologicheskiy Zhurnal, 44(10): 1240–1251."
"Sphenobaiera_starukhiniae-ref"	"Bugdaeva, E. V."	"2010"	"New species of Sphenobaiera Florin (Ginkgoales) from the Lower Cretaceous of Transbaikalia."	"Paleontologicheskiy Zhurnal, 44(10): 1240–1251."
"Ginkgo_kamtschatica-ref"	"Budants [Budantsev], L.Y."	"1983"	"Istoriya arkticheskoy flory epokhi rannego kaypofita [History of the Arctic Flora of the Early Cenophytic Epoch]."	"Nauka, Leningrad, 156 pp. (in Russian)"
"Arberophyllum_spathulatum-ref"	"Brik, M. I."	"1952"	"Fossil Flora and Stratigraphy of the Lower Cretaceous Sediments of the Middle Reach of the Ilek River in Western Kazakhstan"	"Moscow: Gosgeolizdat."
"Ginkgoites_feistmantelii-ref"	"Bose, M. N., Sukh Dev,"	"1958"	"Studies on the fossil flora of the Jabalpur Series from the South Rewa Gondwana Basin - 1. Cycadopteris, Nipaniophyllum and Ginkgoites."	"Palaeobotanist, 7(2): 143–154."
"Ginkgoites_sectoralis-ref"	"Bock, W."	"1969"	"The American Triassic flora and global distribution."	"Geological Center Research Series 3-4: 1–406."
"Sphenobaiera_striata-ref"	"Bock, W."	"1969"	"The American Triassic flora and global distribution."	"Geological Center Research Series, 3(4): 1–406."
"Ginkgoites_milfordensis-ref"	"Bock, W."	"1952"	"New eastern Triassic Ginkgos."	"Bulletins of the Wagner Free Institute of Science, 27: 19–16."
"Ginkgoites_scarburgensis-ref"	"Black, M."	"1929"	"Drifted Plant-Beds of the Upper Estuarine Series of Yorkshire."	"Quarterly Journal of the Geological Society, 85: 389–439."
"Ginkgoites_permjakensis-ref"	"Bistritskaja [Bystritskaya], L. I.,"	"1978"	"Ginkgoites iz yurskikh otlozheniy Kuzbassa [Ginkgoites from Jurassic deposits in Kuzbass]."	"In: Ananiev, A. R. (eds), Stratigraphy and paleontology of Siberia and Ural. Publishing house university of Tomsk, pp. 29–50. (in Russian)"
"Ginkgo_permjakensis-ref"	"Bistritskaja [Bystritskaya], L. I.,"	"1978"	"Ginkgoites iz yurskikh otlozheniy Kuzbassa [Ginkgoites from Jurassic deposits in Kuzbass]."	"In: Ananiev [Anan'ev], A. R. (eds), Stratigraphy and paleontology of Siberia and Ural. Publishing house university of Tomsk, pp. 29–50. (in Russian)"
"Ginkgoxylon_dixitii-ref"	"Biradar, N. V., Mahabale, T. S."	"1978"	"Occurrence of Ginkgo-like wood in east Gondwanas of India."	"Recent Advances in Geology 5: 146–153."
"Ginkgo_rajmahalensis-ref"	"Bano, Z., Maheshwari, H. K., Bose, N. M."	"1979"	"Some plant remainds from Pathargama Rajmahal hills, Bihar."	"The Palaeobotanist, 26(5): 144-156."
"Ginkgoites_watsoniae-ref"	"Ash, S."	"2010"	"Late Triassic Ginkgoaleans of North America."	"In: Gee, C. (eds), Plants of Mesozoic time: morphological innovations, phylogeny, ecosystems, 173–185 pp."
"Karkenia_incurva -ref"	"Archangelsky S."	"1965"	"Fossil Ginkgoales from the Tico flora, Santa Cruz Province, Argentina."	"Bulletin of the British Museum (Natural History) 10(5): 119–137."
"Ginkgoites_tigrensis-ref"	"Archangelsky S."	"1965"	"Fossil Ginkgoales from the Tico flora, Santa Cruz Province, Argentina."	"Bulletin of the British Museum (Natural History) 10(5): 119–137."
